epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,170.825,0.91911,0.63489,1.20516,0.64251,0.67747,0.69938,0.50443,0.91342,0.60185,1.2066,0.01,0.01,0.01
2,319.231,0.91514,0.63537,1.20259,0.6848,0.75751,0.72315,0.49949,0.91635,0.56737,1.21477,0.009802,0.009802,0.009802
3,468.377,0.90971,0.62509,1.19553,0.87201,0.71897,0.77739,0.54757,0.87672,0.54399,1.17168,0.009604,0.009604,0.009604
4,617.698,0.90436,0.62234,1.1934,0.7715,0.76715,0.78656,0.53554,0.88183,0.54603,1.18909,0.009406,0.009406,0.009406
5,767.056,0.90075,0.61476,1.19253,0.74473,0.75875,0.75989,0.54359,0.88203,0.53551,1.17802,0.009208,0.009208,0.009208
6,916.403,0.89297,0.61144,1.19205,0.86717,0.76906,0.80183,0.55284,0.87091,0.53097,1.1715,0.00901,0.00901,0.00901
7,1065.73,0.88534,0.59665,1.18862,0.8652,0.7317,0.78983,0.56694,0.86935,0.51755,1.17714,0.008812,0.008812,0.008812
8,1215.18,0.88106,0.594,1.1828,0.82989,0.73381,0.78562,0.55554,0.86019,0.52015,1.16916,0.008614,0.008614,0.008614
9,1365.19,0.87995,0.59086,1.17983,0.72011,0.76767,0.77287,0.55698,0.85477,0.51093,1.16501,0.008416,0.008416,0.008416
10,1514.63,0.87286,0.58891,1.17617,0.79522,0.77909,0.80508,0.56611,0.86498,0.51034,1.17628,0.008218,0.008218,0.008218
11,1664.1,0.87447,0.58525,1.17736,0.72143,0.74186,0.74976,0.54148,0.86364,0.51089,1.17032,0.00802,0.00802,0.00802
12,1813.57,0.86738,0.57692,1.17238,0.73848,0.82651,0.80586,0.57078,0.86111,0.50658,1.16662,0.007822,0.007822,0.007822
13,1963.05,0.85869,0.56967,1.16839,0.7136,0.76476,0.77024,0.55872,0.85262,0.49288,1.1589,0.007624,0.007624,0.007624
14,2112.61,0.86179,0.57157,1.17035,0.8521,0.75611,0.79316,0.56323,0.84952,0.50267,1.16334,0.007426,0.007426,0.007426
15,2261.98,0.84938,0.56742,1.16308,0.76933,0.78381,0.76954,0.5611,0.85707,0.50269,1.17038,0.007228,0.007228,0.007228
16,2412,0.84953,0.55832,1.16245,0.89929,0.75654,0.8136,0.57269,0.8514,0.48882,1.16524,0.00703,0.00703,0.00703
17,2561.43,0.84429,0.5527,1.1606,0.79613,0.73715,0.77892,0.56924,0.84368,0.4939,1.1619,0.006832,0.006832,0.006832
18,2710.75,0.83841,0.5525,1.15673,0.81995,0.79769,0.81292,0.56988,0.8326,0.49116,1.16176,0.006634,0.006634,0.006634
19,2860.35,0.83526,0.54213,1.15244,0.90156,0.77407,0.8181,0.58139,0.84221,0.4791,1.16315,0.006436,0.006436,0.006436
20,3009.83,0.83037,0.54231,1.14938,0.80925,0.78012,0.81347,0.57191,0.83934,0.4783,1.1619,0.006238,0.006238,0.006238
21,3159.17,0.8227,0.53772,1.14726,0.75225,0.78429,0.78343,0.56358,0.84157,0.47902,1.16933,0.00604,0.00604,0.00604
22,3308.63,0.82424,0.53976,1.14897,0.76491,0.78437,0.78303,0.57307,0.82772,0.4732,1.15654,0.005842,0.005842,0.005842
23,3458.15,0.81897,0.53296,1.14356,0.83541,0.79231,0.82282,0.58744,0.82497,0.46764,1.1544,0.005644,0.005644,0.005644
24,3607.68,0.81444,0.52476,1.14077,0.89756,0.74643,0.81938,0.5871,0.83369,0.46924,1.16113,0.005446,0.005446,0.005446
25,3757.05,0.80447,0.52435,1.13658,0.8925,0.79152,0.85283,0.58362,0.82919,0.47247,1.16029,0.005248,0.005248,0.005248
26,3906.61,0.80967,0.52355,1.13903,0.76435,0.78792,0.79098,0.57522,0.81759,0.47219,1.14353,0.00505,0.00505,0.00505
27,4056.12,0.8015,0.51813,1.13103,0.73678,0.80682,0.80247,0.58344,0.81683,0.47224,1.14374,0.004852,0.004852,0.004852
28,4205.59,0.79542,0.5114,1.1291,0.79721,0.77861,0.79268,0.57965,0.81452,0.45971,1.14991,0.004654,0.004654,0.004654
29,4355.16,0.79143,0.50262,1.12863,0.78713,0.78215,0.80246,0.5812,0.81252,0.46006,1.15024,0.004456,0.004456,0.004456
30,4504.77,0.79108,0.50293,1.12705,0.81388,0.82107,0.82033,0.58305,0.81197,0.45862,1.1499,0.004258,0.004258,0.004258
31,4654.93,0.78214,0.50728,1.12614,0.76239,0.7837,0.80014,0.58191,0.80926,0.45384,1.14665,0.00406,0.00406,0.00406
32,4804.75,0.78315,0.49925,1.11977,0.84862,0.81649,0.83763,0.59381,0.814,0.4481,1.14818,0.003862,0.003862,0.003862
33,4954.58,0.77527,0.49527,1.11529,0.76354,0.79518,0.80625,0.58802,0.80761,0.44809,1.14375,0.003664,0.003664,0.003664
34,5104.12,0.77256,0.49019,1.11676,0.86558,0.771,0.80767,0.58617,0.80621,0.45206,1.1409,0.003466,0.003466,0.003466
35,5254.14,0.76764,0.48862,1.11375,0.80436,0.82245,0.82566,0.58886,0.80408,0.44948,1.14399,0.003268,0.003268,0.003268
36,5403.76,0.7662,0.48358,1.11422,0.79415,0.79994,0.81034,0.5933,0.7993,0.44777,1.13768,0.00307,0.00307,0.00307
37,5553.16,0.75651,0.47935,1.10844,0.79835,0.78634,0.81662,0.59333,0.80365,0.44702,1.14312,0.002872,0.002872,0.002872
38,5702.74,0.75961,0.47944,1.10563,0.79787,0.80669,0.8146,0.59111,0.80614,0.44627,1.14383,0.002674,0.002674,0.002674
39,5852.7,0.75026,0.47381,1.10307,0.83952,0.80625,0.81921,0.58659,0.80387,0.44804,1.1438,0.002476,0.002476,0.002476
40,6002.35,0.74931,0.47049,1.10089,0.81536,0.77393,0.80448,0.59079,0.80519,0.44617,1.14613,0.002278,0.002278,0.002278
41,6150.81,0.68709,0.38683,1.07683,0.81431,0.81098,0.82343,0.58608,0.80435,0.44449,1.14541,0.00208,0.00208,0.00208
42,6298.96,0.6726,0.37367,1.06785,0.84061,0.82151,0.83209,0.59657,0.79829,0.4441,1.14181,0.001882,0.001882,0.001882
43,6447.11,0.6659,0.37019,1.06149,0.8102,0.82395,0.83545,0.59147,0.80069,0.44514,1.14555,0.001684,0.001684,0.001684
44,6595.42,0.65914,0.36284,1.05848,0.82379,0.82202,0.84243,0.60083,0.79843,0.44472,1.14556,0.001486,0.001486,0.001486
45,6743.65,0.6534,0.36217,1.05464,0.82296,0.8204,0.83568,0.59616,0.79609,0.43834,1.14606,0.001288,0.001288,0.001288
46,6891.73,0.64099,0.3567,1.04636,0.85249,0.79088,0.83003,0.59679,0.80098,0.43664,1.14987,0.00109,0.00109,0.00109
47,7039.97,0.64117,0.35368,1.04355,0.84642,0.7913,0.83467,0.60163,0.80011,0.43688,1.14996,0.000892,0.000892,0.000892
48,7188.25,0.63196,0.34859,1.03842,0.83499,0.81164,0.8311,0.60118,0.79681,0.43499,1.14878,0.000694,0.000694,0.000694
49,7336.54,0.62881,0.34709,1.03964,0.84132,0.81191,0.83031,0.60242,0.7957,0.43393,1.14844,0.000496,0.000496,0.000496
50,7484.68,0.62141,0.34299,1.0342,0.84528,0.80653,0.83105,0.60056,0.7962,0.43443,1.14815,0.000298,0.000298,0.000298
